"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:25:26.287, 19 de jun. de 2023","0,2","0,0","760.741.888","479.536.528","22.151.168","21.598.312","4.449","0","565","562"
"16:25:27.288, 19 de jun. de 2023","0,8","0,0","839.909.376","192.062.360","22.151.168","21.598.312","4.449","0","565","562"
"16:25:28.288, 19 de jun. de 2023","0,2","0,0","839.909.376","193.878.648","22.151.168","21.598.312","4.449","0","565","562"
"16:25:29.288, 19 de jun. de 2023","1,6","0,0","839.909.376","198.333.664","22.151.168","21.598.312","4.449","0","20","17"
"16:25:30.288, 19 de jun. de 2023","0,2","0,0","839.909.376","198.333.664","22.151.168","21.598.312","4.449","0","20","17"
"16:25:31.288, 19 de jun. de 2023","0,0","0,0","839.909.376","198.333.664","22.151.168","21.598.312","4.449","0","20","17"
"16:25:32.289, 19 de jun. de 2023","0,2","0,0","839.909.376","198.333.664","22.151.168","21.598.312","4.449","0","20","17"
"16:25:33.289, 19 de jun. de 2023","0,0","0,0","839.909.376","198.333.664","22.151.168","21.598.312","4.449","0","20","17"
"16:25:34.290, 19 de jun. de 2023","0,1","0,0","839.909.376","200.149.952","22.151.168","21.598.312","4.449","0","20","17"
"16:25:35.291, 19 de jun. de 2023","0,1","0,0","839.909.376","200.149.952","22.151.168","21.598.312","4.449","0","20","17"
"16:25:36.291, 19 de jun. de 2023","0,1","0,0","839.909.376","200.149.952","22.151.168","21.598.312","4.449","0","20","17"
"16:25:37.291, 19 de jun. de 2023","0,2","0,0","839.909.376","200.149.952","22.151.168","21.602.176","4.449","0","20","17"
"16:25:38.291, 19 de jun. de 2023","0,0","0,0","839.909.376","200.149.952","22.151.168","21.602.176","4.449","0","20","17"
"16:25:39.291, 19 de jun. de 2023","30,0","0,0","839.909.376","260.068.392","22.151.168","21.602.176","4.449","0","688","685"
"16:25:40.292, 19 de jun. de 2023","47,3","0,0","839.909.376","284.855.392","22.151.168","21.602.176","4.449","0","688","685"
"16:25:41.292, 19 de jun. de 2023","48,1","0,0","839.909.376","308.974.680","22.151.168","21.602.176","4.449","0","688","685"
"16:25:42.292, 19 de jun. de 2023","47,2","0,0","839.909.376","333.532.624","22.151.168","21.602.176","4.449","0","688","685"
"16:25:43.292, 19 de jun. de 2023","50,0","0,0","839.909.376","357.560.000","22.151.168","21.603.904","4.449","0","688","685"
"16:25:44.292, 19 de jun. de 2023","47,1","0,0","839.909.376","381.974.936","22.216.704","21.605.392","4.449","0","688","685"
"16:25:45.292, 19 de jun. de 2023","47,8","0,0","839.909.376","406.120.304","22.216.704","21.605.392","4.449","0","688","685"
"16:25:46.293, 19 de jun. de 2023","47,4","0,0","839.909.376","430.540.616","22.216.704","21.605.392","4.449","0","688","685"
"16:25:47.293, 19 de jun. de 2023","49,6","0,1","758.644.736","247.838.336","22.216.704","21.605.392","4.449","0","688","685"
"16:25:48.293, 19 de jun. de 2023","48,7","0,0","758.644.736","272.090.072","22.216.704","21.606.256","4.449","0","688","685"
"16:25:49.293, 19 de jun. de 2023","26,3","0,0","758.644.736","287.078.144","22.216.704","21.610.696","4.449","0","688","685"
"16:25:50.294, 19 de jun. de 2023","0,3","0,0","758.644.736","289.642.424","22.216.704","21.611.632","4.449","0","688","685"
"16:25:51.294, 19 de jun. de 2023","0,2","0,0","758.644.736","292.251.728","22.216.704","21.611.632","4.449","0","688","685"
"16:25:52.295, 19 de jun. de 2023","0,3","0,0","758.644.736","293.533.912","22.216.704","21.612.464","4.449","0","688","685"
"16:25:53.296, 19 de jun. de 2023","0,2","0,0","758.644.736","296.098.168","22.216.704","21.617.352","4.449","0","688","685"
"16:25:54.296, 19 de jun. de 2023","0,5","0,0","758.644.736","298.707.472","22.216.704","21.617.352","4.449","0","688","685"
"16:25:55.297, 19 de jun. de 2023","0,4","0,0","758.644.736","299.989.656","22.216.704","21.617.352","4.449","0","688","685"
"16:25:56.297, 19 de jun. de 2023","1,3","0,0","758.644.736","302.553.992","22.216.704","21.629.552","4.449","0","688","685"
"16:25:57.298, 19 de jun. de 2023","0,2","0,0","758.644.736","305.118.248","22.216.704","21.630.376","4.449","0","688","685"
"16:25:58.299, 19 de jun. de 2023","0,2","0,0","758.644.736","306.400.384","22.216.704","21.630.376","4.449","0","688","685"
"16:25:59.300, 19 de jun. de 2023","0,2","0,0","758.644.736","308.964.696","22.216.704","21.630.376","4.449","0","688","685"
"16:26:00.300, 19 de jun. de 2023","0,4","0,0","758.644.736","311.528.936","22.216.704","21.630.376","4.449","0","688","685"
"16:26:01.301, 19 de jun. de 2023","0,2","0,0","758.644.736","313.096.400","22.216.704","21.632.912","4.449","0","688","685"
"16:26:02.301, 19 de jun. de 2023","0,3","0,0","758.644.736","315.660.688","22.216.704","21.632.912","4.449","0","688","685"
"16:26:03.302, 19 de jun. de 2023","0,2","0,0","758.644.736","318.224.928","22.216.704","21.632.912","4.449","0","688","685"
"16:26:04.302, 19 de jun. de 2023","0,2","0,0","758.644.736","319.507.040","22.216.704","21.632.912","4.449","0","688","685"
"16:26:05.302, 19 de jun. de 2023","0,2","0,0","758.644.736","322.071.296","22.216.704","21.632.912","4.449","0","688","685"
"16:26:06.303, 19 de jun. de 2023","0,3","0,0","758.644.736","324.658.072","22.216.704","21.632.912","4.449","0","688","685"
"16:26:07.303, 19 de jun. de 2023","0,2","0,0","758.644.736","325.940.208","22.216.704","21.632.912","4.449","0","688","685"
"16:26:08.303, 19 de jun. de 2023","0,2","0,0","758.644.736","328.504.464","22.216.704","21.632.912","4.449","0","688","685"
"16:26:09.304, 19 de jun. de 2023","0,3","0,0","758.644.736","331.068.776","22.216.704","21.632.912","4.449","0","688","685"
"16:26:10.304, 19 de jun. de 2023","0,2","0,0","758.644.736","332.350.912","22.216.704","21.632.912","4.449","0","688","685"
"16:26:11.305, 19 de jun. de 2023","0,2","0,0","758.644.736","334.915.376","22.216.704","21.632.912","4.449","0","688","685"
"16:26:12.305, 19 de jun. de 2023","0,3","0,0","758.644.736","337.480.632","22.216.704","21.632.912","4.449","0","688","685"
"16:26:13.305, 19 de jun. de 2023","0,4","0,0","758.644.736","338.762.768","22.216.704","21.632.912","4.449","0","688","685"
"16:26:14.306, 19 de jun. de 2023","0,3","0,0","758.644.736","341.327.064","22.216.704","21.632.912","4.449","0","688","685"
"16:26:15.306, 19 de jun. de 2023","0,2","0,0","758.644.736","343.891.352","22.216.704","21.633.368","4.449","0","688","685"
"16:26:16.306, 19 de jun. de 2023","0,3","0,0","758.644.736","345.173.472","22.216.704","21.634.056","4.449","0","688","685"
"16:26:17.307, 19 de jun. de 2023","0,3","0,0","758.644.736","347.743.352","22.216.704","21.634.056","4.449","0","688","685"
"16:26:18.307, 19 de jun. de 2023","0,3","0,0","758.644.736","350.308.624","22.216.704","21.634.056","4.449","0","688","685"
"16:26:19.307, 19 de jun. de 2023","0,2","0,0","758.644.736","351.590.760","22.216.704","21.634.056","4.449","0","688","685"
