Type;Time [ms];CPU usage [%];GC activity [%];Size [B];Used [B];Total loaded;Shared loaded;Live;Daemon
Cached Threads;21:24:26.309, 30 de jun. de 2023;0,0;0,0;951.582.720;280.543.304;4.207;0;19;16
Cached Threads;21:24:27.309, 30 de jun. de 2023;0,1;0,0;951.582.720;280.543.304;4.207;0;19;16
Cached Threads;21:24:28.309, 30 de jun. de 2023;0,2;0,0;951.582.720;280.543.304;4.207;0;19;16
Cached Threads;21:24:29.309, 30 de jun. de 2023;52,0;0,0;951.582.720;347.637.000;4.207;0;680;677
Cached Threads;21:24:30.309, 30 de jun. de 2023;48,8;0,0;951.582.720;364.473.032;4.207;0;680;677
Cached Threads;21:24:31.309, 30 de jun. de 2023;46,0;0,0;951.582.720;381.798.264;4.207;0;680;677
Cached Threads;21:24:32.309, 30 de jun. de 2023;48,7;0,0;951.582.720;399.098.720;4.207;0;680;677
Cached Threads;21:24:33.309, 30 de jun. de 2023;45,8;0,0;951.582.720;416.288.568;4.207;0;680;677
Cached Threads;21:24:34.309, 30 de jun. de 2023;49,1;0,0;951.582.720;433.842.224;4.207;0;680;677
Cached Threads;21:24:35.310, 30 de jun. de 2023;45,8;0,0;951.582.720;450.833.824;4.207;0;680;677
Cached Threads;21:24:36.310, 30 de jun. de 2023;48,6;0,0;951.582.720;468.309.000;4.207;0;680;677
Cached Threads;21:24:37.310, 30 de jun. de 2023;46,1;0,0;951.582.720;485.492.288;4.207;0;680;677
Cached Threads;21:24:38.310, 30 de jun. de 2023;48,9;0,0;951.582.720;504.512.744;4.207;0;680;677
Cached Threads;21:24:39.310, 30 de jun. de 2023;5,1;0,0;951.582.720;508.856.128;4.207;0;680;677
Cached Threads;21:24:40.310, 30 de jun. de 2023;0,1;0,0;951.582.720;511.106.112;4.207;0;680;677
Cached Threads;21:24:41.310, 30 de jun. de 2023;0,3;0,0;951.582.720;513.355.080;4.207;0;680;677
Cached Threads;21:24:42.311, 30 de jun. de 2023;0,2;0,0;951.582.720;515.604.048;4.207;0;680;677
Cached Threads;21:24:43.311, 30 de jun. de 2023;0,2;0,0;951.582.720;517.853.032;4.207;0;680;677
