"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Live","Daemon","Total loaded","Shared loaded"
"16:19:44.671, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.572.638.120","22.347.776","21.727.664","27","24","4.475","0"
"16:19:45.671, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.572.906.712","22.347.776","21.727.664","27","24","4.475","0"
"16:19:46.672, 19 de jun. de 2023","2,8","0,0","2.441.609.216","1.584.111.504","22.347.776","21.727.664","29","26","4.475","0"
"16:19:47.672, 19 de jun. de 2023","49,7","0,0","2.441.609.216","1.669.363.376","22.347.776","21.727.664","29","26","4.475","0"
"16:19:48.672, 19 de jun. de 2023","51,8","0,0","2.441.609.216","1.715.737.448","22.347.776","21.727.664","29","26","4.475","0"
"16:19:49.672, 19 de jun. de 2023","48,1","0,0","2.441.609.216","1.761.844.600","22.347.776","21.727.664","29","26","4.475","0"
"16:19:50.672, 19 de jun. de 2023","53,0","0,0","2.441.609.216","1.808.048.704","22.347.776","21.727.664","29","26","4.475","0"
"16:19:51.672, 19 de jun. de 2023","55,1","1,0","2.441.609.216","1.428.725.752","22.347.776","21.727.664","29","26","4.475","0"
"16:19:52.673, 19 de jun. de 2023","52,3","0,0","2.441.609.216","1.474.288.072","22.347.776","21.727.664","29","26","4.475","0"
"16:19:53.673, 19 de jun. de 2023","48,3","0,0","2.441.609.216","1.520.927.448","22.347.776","21.727.664","29","26","4.475","0"
"16:19:54.673, 19 de jun. de 2023","52,5","0,0","2.441.609.216","1.567.699.352","22.347.776","21.727.664","29","26","4.475","0"
"16:19:55.673, 19 de jun. de 2023","47,8","0,0","2.441.609.216","1.615.375.688","22.347.776","21.728.552","29","26","4.475","0"
"16:19:56.673, 19 de jun. de 2023","48,0","0,0","2.441.609.216","1.659.317.608","22.347.776","21.728.552","29","26","4.475","0"
"16:19:57.674, 19 de jun. de 2023","0,9","0,0","2.441.609.216","1.661.303.784","22.347.776","21.728.552","29","26","4.475","0"
"16:19:58.674, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.661.636.880","22.347.776","21.728.552","29","26","4.475","0"
"16:19:59.674, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.661.970.960","22.347.776","21.728.552","29","26","4.475","0"
"16:20:00.675, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.661.970.960","22.347.776","21.730.776","29","26","4.475","0"
"16:20:01.675, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.662.304.024","22.347.776","21.730.776","29","26","4.475","0"
"16:20:02.675, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.662.637.096","22.347.776","21.730.776","29","26","4.475","0"
"16:20:03.676, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.662.970.176","22.347.776","21.731.168","29","26","4.475","0"
"16:20:04.676, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.663.303.240","22.347.776","21.739.656","29","26","4.475","0"
"16:20:05.676, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.663.637.320","22.347.776","21.739.656","29","26","4.475","0"
"16:20:06.677, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.664.524.504","22.347.776","21.740.568","29","26","4.475","0"
"16:20:07.677, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.664.524.504","22.347.776","21.740.568","29","26","4.475","0"
"16:20:08.677, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.664.857.576","22.347.776","21.740.568","29","26","4.475","0"
"16:20:09.678, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.665.191.656","22.347.776","21.740.568","29","26","4.475","0"
"16:20:10.678, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.665.524.728","22.347.776","21.740.568","29","26","4.475","0"
"16:20:11.678, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.665.858.136","22.347.776","21.740.568","29","26","4.475","0"
"16:20:12.678, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.666.191.224","22.347.776","21.743.104","29","26","4.475","0"
"16:20:13.679, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.666.525.304","22.347.776","21.743.104","29","26","4.475","0"
"16:20:14.679, 19 de jun. de 2023","0,0","0,0","2.441.609.216","1.666.858.384","22.347.776","21.743.104","29","26","4.475","0"
"16:20:15.679, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.666.858.384","22.347.776","21.743.104","29","26","4.475","0"
"16:20:16.679, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.667.191.952","22.347.776","21.743.104","29","26","4.475","0"
"16:20:17.679, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.667.525.016","22.347.776","21.743.104","29","26","4.475","0"
