"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:10:52.078, 30 de jun. de 2023","48,6","0,0","2.452.619.264","1.585.634.312","4.167","0","27","24"
"21:10:53.078, 30 de jun. de 2023","52,2","0,0","2.452.619.264","1.628.478.288","4.167","0","27","24"
"21:10:54.078, 30 de jun. de 2023","50,3","0,0","2.452.619.264","1.666.334.392","4.167","0","27","24"
"21:10:55.078, 30 de jun. de 2023","52,5","0,0","2.452.619.264","1.707.317.976","4.167","0","27","24"
"21:10:56.078, 30 de jun. de 2023","49,7","0,0","2.452.619.264","1.749.915.904","4.167","0","27","24"
"21:10:57.078, 30 de jun. de 2023","61,1","1,0","2.452.619.264","1.287.180.856","4.167","0","27","24"
"21:10:58.079, 30 de jun. de 2023","49,4","0,0","2.452.619.264","1.326.218.184","4.167","0","27","24"
"21:10:59.079, 30 de jun. de 2023","51,1","0,0","2.452.619.264","1.367.301.648","4.167","0","27","24"
"21:11:00.079, 30 de jun. de 2023","15,8","0,0","2.452.619.264","1.382.358.048","4.167","0","27","24"
"21:11:01.079, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.382.358.048","4.167","0","27","24"
"21:11:02.079, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.382.761.744","4.167","0","27","24"
"21:11:03.080, 30 de jun. de 2023","0,3","0,0","2.452.619.264","1.383.165.408","4.167","0","27","24"
"21:11:04.080, 30 de jun. de 2023","1,0","0,0","2.452.619.264","1.383.569.072","4.167","0","27","24"
"21:11:05.080, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.383.569.072","4.167","0","27","24"
"21:11:06.080, 30 de jun. de 2023","0,3","0,0","2.452.619.264","1.383.972.752","4.167","0","27","24"
"21:11:07.081, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.384.376.448","4.167","0","27","24"
"21:11:08.081, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.384.376.448","4.167","0","27","24"
"21:11:09.081, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.384.780.280","4.167","0","27","24"
"21:11:10.081, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.385.737.592","4.167","0","27","24"
"21:11:11.081, 30 de jun. de 2023","0,3","0,0","2.452.619.264","1.385.737.592","4.167","0","27","24"
"21:11:12.082, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.386.141.288","4.167","0","27","24"
"21:11:13.082, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.386.544.968","4.167","0","27","24"
"21:11:14.082, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.386.948.664","4.167","0","27","24"
"21:11:15.082, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.386.948.664","4.167","0","27","24"
"21:11:16.082, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.387.352.328","4.167","0","27","24"
"21:11:17.082, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.387.756.000","4.167","0","27","24"
"21:11:18.082, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.387.756.000","4.167","0","27","24"
"21:11:19.083, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.388.160.680","4.167","0","27","24"
"21:11:20.083, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.388.565.744","4.167","0","27","24"
"21:11:21.083, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.388.969.424","4.167","0","27","24"
"21:11:22.083, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.388.969.424","4.167","0","27","24"
"21:11:23.083, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.389.373.104","4.167","0","27","24"
"21:11:24.083, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.389.777.784","4.167","0","27","24"
"21:11:25.084, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.389.777.784","4.167","0","27","24"
"21:11:26.084, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.390.182.464","4.167","0","27","24"
"21:11:27.084, 30 de jun. de 2023","0,5","0,0","2.452.619.264","1.390.586.136","4.167","0","27","24"
"21:11:28.084, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.390.586.136","4.167","0","27","24"
"21:11:29.084, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.390.990.816","4.167","0","27","24"
"21:11:30.085, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.391.394.496","4.167","0","26","23"
"21:11:31.085, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.391.798.664","4.167","0","26","23"
"21:11:32.085, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.392.352.344","4.167","0","26","23"
"21:11:33.085, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.392.756.024","4.167","0","26","23"
"21:11:34.085, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.393.160.192","4.167","0","26","23"
"21:11:35.085, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.393.160.192","4.167","0","26","23"
"21:11:36.085, 30 de jun. de 2023","1,3","0,0","2.452.619.264","1.393.564.872","4.167","0","26","23"
"21:11:37.086, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.393.969.552","4.167","0","26","23"
"21:11:38.086, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.393.969.552","4.167","0","26","23"
"21:11:39.086, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.394.373.720","4.167","0","26","23"
"21:11:40.086, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.394.777.376","4.167","0","26","23"
"21:11:41.086, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.395.181.072","4.167","0","26","23"
"21:11:42.086, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.395.181.072","4.167","0","26","23"
"21:11:43.087, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.395.584.752","4.167","0","26","23"
"21:11:44.087, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.395.988.432","4.167","0","26","23"
"21:11:45.087, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.395.988.432","4.167","0","26","23"
"21:11:46.087, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.396.393.112","4.167","0","26","23"
"21:11:47.087, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.396.796.872","4.167","0","26","23"
"21:11:48.087, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.396.796.872","4.167","0","26","23"
"21:11:49.088, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.397.200.536","4.167","0","26","23"
"21:11:50.088, 30 de jun. de 2023","0,2","0,0","2.452.619.264","1.397.604.200","4.167","0","26","23"
"21:11:51.088, 30 de jun. de 2023","0,0","0,0","2.452.619.264","1.398.008.880","4.167","0","26","23"
"21:11:52.088, 30 de jun. de 2023","0,1","0,0","2.452.619.264","1.398.008.880","4.167","0","26","23"
