tipo;qual execução;hora;cpu;dado1;reservada;utilizada;total loaded;Shared loaded;threads;daemon
Virtual Threads;VT5;21:14:00.115, 30 de jun. de 2023;0;0;2452619264;1437037032;4167;0;27;24
Virtual Threads;VT5;21:14:01.115, 30 de jun. de 2023;0,1;0;2452619264;1437463688;4167;0;27;24
Virtual Threads;VT5;21:14:02.115, 30 de jun. de 2023;0,2;0;2452619264;1437463688;4167;0;27;24
Virtual Threads;VT5;21:14:03.116, 30 de jun. de 2023;0;0;2452619264;1437889320;4167;0;27;24
Virtual Threads;VT5;21:14:04.116, 30 de jun. de 2023;0,1;0;2452619264;1438314960;4167;0;27;24
Virtual Threads;VT5;21:14:05.116, 30 de jun. de 2023;0,1;0;2452619264;1438382120;4167;0;27;24
Virtual Threads;VT5;21:14:06.116, 30 de jun. de 2023;0,1;0;2452619264;1438807784;4167;0;27;24
Virtual Threads;VT5;21:14:07.117, 30 de jun. de 2023;0;0;2452619264;1439234440;4167;0;27;24
Virtual Threads;VT5;21:14:08.117, 30 de jun. de 2023;0,1;0;2452619264;1439234440;4167;0;27;24
Virtual Threads;VT5;21:14:09.117, 30 de jun. de 2023;0;0;2452619264;1439660112;4167;0;27;24
Virtual Threads;VT5;21:14:10.117, 30 de jun. de 2023;0;0;2452619264;1440320688;4167;0;26;23
Virtual Threads;VT5;21:14:11.118, 30 de jun. de 2023;0,1;0;2452619264;1440320688;4167;0;26;23
Virtual Threads;VT5;21:14:12.118, 30 de jun. de 2023;0;0;2452619264;1440746408;4167;0;26;23
Virtual Threads;VT5;21:14:13.118, 30 de jun. de 2023;0,2;0;2452619264;1441172056;4167;0;26;23
Virtual Threads;VT5;21:14:14.118, 30 de jun. de 2023;0;0;2452619264;1441172056;4167;0;26;23
Virtual Threads;VT5;21:14:15.118, 30 de jun. de 2023;0,1;0;2452619264;1441597792;4167;0;26;23
Virtual Threads;VT5;21:14:16.119, 30 de jun. de 2023;0;0;2452619264;1442023936;4167;0;26;23
Virtual Threads;VT5;21:14:17.119, 30 de jun. de 2023;0;0;2452619264;1442023936;4167;0;26;23
Virtual Threads;VT5;21:14:18.119, 30 de jun. de 2023;0,1;0;2452619264;1442449592;4167;0;26;23
Virtual Threads;VT5;21:14:19.119, 30 de jun. de 2023;0,1;0;2452619264;1442875736;4167;0;26;23
Virtual Threads;VT5;21:14:20.120, 30 de jun. de 2023;0;0;2452619264;1442875736;4167;0;26;23
Virtual Threads;VT5;21:14:21.120, 30 de jun. de 2023;0,1;0;2452619264;1443301440;4167;0;26;23
Virtual Threads;VT5;21:14:22.120, 30 de jun. de 2023;0,1;0;2452619264;1443727104;4167;0;26;23
Virtual Threads;VT5;21:14:23.120, 30 de jun. de 2023;0,1;0;2452619264;1443727104;4167;0;26;23
Virtual Threads;VT5;21:14:24.121, 30 de jun. de 2023;0;0;2452619264;1444152760;4167;0;26;23
Virtual Threads;VT5;21:14:25.121, 30 de jun. de 2023;0,1;0;2452619264;1444578904;4167;0;26;23
Virtual Threads;VT5;21:14:26.121, 30 de jun. de 2023;0;0;2452619264;1444578904;4167;0;26;23
Virtual Threads;VT5;21:14:27.121, 30 de jun. de 2023;0;0;2452619264;1445004560;4167;0;26;23
Virtual Threads;VT5;21:14:28.121, 30 de jun. de 2023;0,1;0;2452619264;1445431216;4167;0;26;23
Virtual Threads;VT5;21:14:29.122, 30 de jun. de 2023;0,1;0;2452619264;1445431216;4167;0;26;23
Virtual Threads;VT5;21:14:30.122, 30 de jun. de 2023;0;0;2452619264;1445856920;4167;0;26;23
Virtual Threads;VT5;21:14:31.122, 30 de jun. de 2023;0,1;0;2452619264;1446282552;4167;0;26;23
Virtual Threads;VT5;21:14:32.122, 30 de jun. de 2023;0;0;2452619264;1446282552;4167;0;26;23
